FID;RegName;Rajon;NSettlemen;Broi_Lica;Broi_Jil;Male;Female;Age0_14;Age15_24;Age25_34;Age35_44;Age45_54;Age55_64;AgeOver65;Educ1;Educ2;Educ3;Educ4;Educ5;Area_m2;X;Y
25;Панчарево, в.з Беликата;Панчарево;С.ПАНЧАРЕВО;27.000000000000000;214.000000000000000;17.000000000000000;10.000000000000000;3.000000000000000;2.000000000000000;2.000000000000000;4.000000000000000;3.000000000000000;8.000000000000000;5.000000000000000;3.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,628,636.989250000100000;696,700.368953999950000;4,718,273.139630000100000
26;с. Панчарево;Панчарево;С.ПАНЧАРЕВО;1,895.000000000000000;1,045.000000000000000;918.000000000000000;977.000000000000000;269.000000000000000;199.000000000000000;255.000000000000000;309.000000000000000;253.000000000000000;278.000000000000000;332.000000000000000;134.000000000000000;518.000000000000000;55.000000000000000;20.000000000000000;13.000000000000000;1,149,453.076260000000000;697,804.781350999950000;4,718,307.979129999900000
27;с. Бистрица, м. Чипровица;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,435,850.147970000000000;695,233.801528000040000;4,718,481.642939999700000
28;м. Долни Лозен - м. БЧК;Панчарево;С.ЛОЗЕН;5.000000000000000;1.000000000000000;4.000000000000000;1.000000000000000;0.000000000000000;2.000000000000000;0.000000000000000;0.000000000000000;2.000000000000000;0.000000000000000;1.000000000000000;4.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,404,508.736839999900000;706,046.195104000040000;4,719,442.191560000200000
29;в.з.Бистрица - Калфин дол;Панчарево;С.БИСТРИЦА;96.000000000000000;85.000000000000000;51.000000000000000;45.000000000000000;20.000000000000000;8.000000000000000;12.000000000000000;12.000000000000000;12.000000000000000;17.000000000000000;15.000000000000000;7.000000000000000;15.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2,168,508.568179999900000;693,328.806726000040000;4,718,500.051199999600000
30;в.з. Градище;Панчарево;С.ПАНЧАРЕВО;120.000000000000000;241.000000000000000;55.000000000000000;65.000000000000000;24.000000000000000;6.000000000000000;20.000000000000000;17.000000000000000;21.000000000000000;17.000000000000000;15.000000000000000;7.000000000000000;13.000000000000000;3.000000000000000;0.000000000000000;0.000000000000000;766,592.286622000040000;696,653.733669999990000;4,719,302.360080000000000
31;с. Долни Лозен;Панчарево;С.ЛОЗЕН;2,313.000000000000000;1,157.000000000000000;1,146.000000000000000;1,167.000000000000000;261.000000000000000;239.000000000000000;354.000000000000000;314.000000000000000;348.000000000000000;336.000000000000000;461.000000000000000;108.000000000000000;717.000000000000000;75.000000000000000;9.000000000000000;6.000000000000000;1,829,330.090480000000000;704,685.514446999990000;4,719,622.825670000200000
32;с. Мърчаево, м.Манастирище;Витоша; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;290,677.769318000010000;676,630.691480000040000;4,718,057.508399999700000
33;Зона за отдих Панчарево - плажа;Панчарево;С.ПАНЧАРЕВО;78.000000000000000;52.000000000000000;36.000000000000000;42.000000000000000;12.000000000000000;4.000000000000000;11.000000000000000;17.000000000000000;5.000000000000000;12.000000000000000;17.000000000000000;6.000000000000000;19.000000000000000;4.000000000000000;3.000000000000000;0.000000000000000;2,395,406.569019999800000;698,286.424498999960000;4,718,301.852490000400000
34;с. Лозен;Панчарево;С.ЛОЗЕН;3,180.000000000000000;1,340.000000000000000;1,547.000000000000000;1,633.000000000000000;402.000000000000000;334.000000000000000;469.000000000000000;484.000000000000000;462.000000000000000;446.000000000000000;583.000000000000000;96.000000000000000;1,067.000000000000000;107.000000000000000;56.000000000000000;12.000000000000000;2,117,068.489450000200000;703,212.060862999990000;4,719,794.972190000100000
35;Бистрица - резервата;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;733,821.224836000010000;693,659.429908000050000;4,719,447.400159999700000
36;м.  Чоланица - Четарлъка;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,664,260.396639999900000;708,637.854325999970000;4,719,708.669010000300000
37;в.з. Бистрица - Шираната;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;514,810.692683000000000;694,609.431002000000000;4,719,657.139039999800000
38;с. Г. Лозен, в.з. Чаушица;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;304,875.198138999990000;702,804.408266999990000;4,720,563.234969999600000
39;с. Лозен, м. Бърдо - Св. Димитър;Панчарево;С.ЛОЗЕН;0.000000000000000;3.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;861,832.144199999980000;701,523.376851000010000;4,720,320.808170000100000
40;с.Герман, в.з.Терасите;Панчарево;С.ГЕРМАН;22.000000000000000;17.000000000000000;13.000000000000000;9.000000000000000;7.000000000000000;0.000000000000000;2.000000000000000;5.000000000000000;2.000000000000000;3.000000000000000;3.000000000000000;0.000000000000000;6.000000000000000;0.000000000000000;0.000000000000000;3.000000000000000;2,239,727.473340000000000;698,646.117466000030000;4,719,937.712519999600000
41;Герман, м. Шамака;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,024,859.884340000000000;699,520.951130999950000;4,720,564.942699999500000
42;в.з.Косанин дол;Панчарево;С.ПАНЧАРЕВО;38.000000000000000;90.000000000000000;18.000000000000000;20.000000000000000;8.000000000000000;2.000000000000000;5.000000000000000;7.000000000000000;5.000000000000000;3.000000000000000;8.000000000000000;3.000000000000000;4.000000000000000;0.000000000000000;3.000000000000000;0.000000000000000;2,131,375.327190000100000;695,544.725991999960000;4,719,690.626050000100000
43;с. Мърчаево;Витоша;С.МЪРЧАЕВО;951.000000000000000;501.000000000000000;471.000000000000000;480.000000000000000;96.000000000000000;122.000000000000000;116.000000000000000;151.000000000000000;125.000000000000000;162.000000000000000;179.000000000000000;12.000000000000000;249.000000000000000;83.000000000000000;0.000000000000000;3.000000000000000;1,671,019.995120000100000;677,834.511570999980000;4,718,731.081159999600000
44;с. Лозен, м. Орлова круша;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,429,896.378539999900000;700,645.844475000050000;4,720,866.690159999800000
45;с. Герман;Панчарево;С.ГЕРМАН;2,324.000000000000000;1,252.000000000000000;1,110.000000000000000;1,214.000000000000000;313.000000000000000;271.000000000000000;358.000000000000000;366.000000000000000;353.000000000000000;304.000000000000000;359.000000000000000;98.000000000000000;802.000000000000000;94.000000000000000;9.000000000000000;14.000000000000000;900,522.525631000060000;698,022.751792000020000;4,720,732.309829999700000
46;ж.г. София - вилидж;Панчарево;С.ПАНЧАРЕВО;4.000000000000000;5.000000000000000;3.000000000000000;1.000000000000000;1.000000000000000;1.000000000000000;0.000000000000000;0.000000000000000;2.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;642,742.919301999970000;695,800.855634000040000;4,720,914.924780000000000
47;хидропарк Искър - част Герман;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;860,863.552833999970000;697,541.905474000030000;4,720,949.833189999700000
48;Панчарево - Черешови градини изток;Панчарево;ГР.СОФИЯ,КВ.ГОРУБЛЯНЕ;82.000000000000000;33.000000000000000;42.000000000000000;40.000000000000000;9.000000000000000;13.000000000000000;5.000000000000000;15.000000000000000;15.000000000000000;11.000000000000000;14.000000000000000;4.000000000000000;19.000000000000000;25.000000000000000;7.000000000000000;0.000000000000000;447,445.383023999980000;697,145.122304999970000;4,721,018.527400000000000
49;с. Г. Лозенм. Ефенди мост;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;203,749.869175000000000;701,395.550217999960000;4,721,691.671819999800000
50;с. Панчарево, м. Детски град;Панчарево;С.ПАНЧАРЕВО;12.000000000000000;12.000000000000000;8.000000000000000;4.000000000000000;2.000000000000000;0.000000000000000;3.000000000000000;1.000000000000000;2.000000000000000;1.000000000000000;3.000000000000000;0.000000000000000;3.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,164,086.450720000100000;696,589.897699999970000;4,720,883.924139999800000
51;м. Сръбски азмак;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2,069,439.662010000100000;705,267.372150999960000;4,721,374.681069999900000
52;Парк Камбаните;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;607,316.282673000010000;695,777.255196999990000;4,721,363.679250000000000
53;в.з. Малинова Долина - герена;Витоша / Панчарево;ГР.СОФИЯ,КВ.СИМЕОНОВО;114.000000000000000;239.000000000000000;57.000000000000000;57.000000000000000;15.000000000000000;12.000000000000000;16.000000000000000;22.000000000000000;10.000000000000000;15.000000000000000;24.000000000000000;9.000000000000000;17.000000000000000;4.000000000000000;3.000000000000000;0.000000000000000;1,403,678.417720000000000;694,300.156379000050000;4,720,509.119620000000000
54;в.з. Малинова долина - изток;Витоша;ГР.СОФИЯ,КВ.СИМЕОНОВО;200.000000000000000;331.000000000000000;112.000000000000000;88.000000000000000;18.000000000000000;26.000000000000000;54.000000000000000;29.000000000000000;23.000000000000000;24.000000000000000;26.000000000000000;77.000000000000000;27.000000000000000;3.000000000000000;0.000000000000000;0.000000000000000;1,941,375.147870000000000;693,584.528171999960000;4,720,830.754189999800000
55;с. Герман, м. Старият мост;Панчарево;С.ГЕРМАН;2.000000000000000;1.000000000000000;2.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1.000000000000000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;102,450.942132000000000;698,480.045447999960000;4,721,884.141959999700000
56;с. Владая, м.Габера;Витоша;С.ВЛАДАЯ;35.000000000000000;9.000000000000000;18.000000000000000;17.000000000000000;8.000000000000000;5.000000000000000;8.000000000000000;8.000000000000000;1.000000000000000;3.000000000000000;2.000000000000000;3.000000000000000;11.000000000000000;5.000000000000000;3.000000000000000;3.000000000000000;671,464.524000999980000;679,598.996598999950000;4,720,502.703189999800000
57;в.з. Малинова доолина - запад;Витоша;ГР.СОФИЯ,КВ.СИМЕОНОВО;42.000000000000000;93.000000000000000;23.000000000000000;19.000000000000000;7.000000000000000;6.000000000000000;6.000000000000000;8.000000000000000;5.000000000000000;6.000000000000000;4.000000000000000;9.000000000000000;5.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,384,736.769210000100000;692,722.737857999980000;4,720,855.159190000000000
58;с. Д. Лозен, м. Крива река;Панчарево;С.ЛОЗЕН;2.000000000000000;1.000000000000000;0.000000000000000;2.000000000000000;0.000000000000000;0.000000000000000;1.000000000000000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,055,841.646840000100000;706,135.645382000020000;4,722,468.568430000000000
59;м.Автомагистрала Тракия-м.Прогоно;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;313,389.103772000000000;702,865.542360999970000;4,722,575.787960000300000
60;с. Г. Лозен, м. Опитното поле -;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;297,155.552694000010000;701,076.650735000030000;4,722,518.470409999600000
61;с. Г. Лозен, м. Иванкова ливада;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;225,105.563591999990000;703,103.985939000030000;4,722,784.321870000100000
62;м. Врана - Лозен-Триъгълника;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;828,416.530661999950000;699,646.101221999970000;4,722,248.689690000400000
63;с. Г. Лозен, м. Мала круша;Панчарево;С.ЛОЗЕН;7.000000000000000;8.000000000000000;4.000000000000000;3.000000000000000;1.000000000000000;0.000000000000000;1.000000000000000;0.000000000000000;0.000000000000000;3.000000000000000;2.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2,018,174.979180000000000;701,274.193225999940000;4,721,746.693880000200000
64;с. Г. Лозен, м. Висо;Панчарево;С.ЛОЗЕН;103.000000000000000;104.000000000000000;48.000000000000000;55.000000000000000;19.000000000000000;5.000000000000000;18.000000000000000;15.000000000000000;14.000000000000000;15.000000000000000;17.000000000000000;3.000000000000000;6.000000000000000;4.000000000000000;0.000000000000000;0.000000000000000;533,326.915021999970000;700,282.036549999960000;4,722,743.558939999900000
65;в.з. Враня-Герман;Панчарево;С.ГЕРМАН;32.000000000000000;27.000000000000000;18.000000000000000;14.000000000000000;1.000000000000000;3.000000000000000;3.000000000000000;6.000000000000000;4.000000000000000;13.000000000000000;2.000000000000000;4.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,160,382.242510000000000;699,335.471758999980000;4,722,325.076480000300000
