,RegName,Rajon,NSettlemen,Broi_Lica,Broi_Jil,Male,Female,Age0_14,Age15_24,Age25_34,Age35_44,Age45_54,Age55_64,AgeOver65,Educ1,Educ2,Educ3,Educ4,Educ5,Area_m2,X,Y,geometry,centroid,subway_distance
121,НПЗ Искър-юг,Искър,ГР.СОФИЯ,881,388,437,444,93,102,186,87,185,153,75,281,388,74,54,34,2866773.80732,697762.168271,4725402.9582,"POLYGON ((697869.1628658047 4726367.393565509, 698299.4197704714 4726249.069180412, 698323.9728708181 4726204.532883923, 698435.5286651005 4726002.183808299, 698447.651873538 4725962.589173414, 698494.4402551372 4725809.776090712, 698507.8151910614 4725677.112103825, 698516.7523786587 4725588.465030298, 698516.7707153308 4725576.484099645, 698517.0488994857 4725394.536536027, 698517.3212491337 4725216.265259973, 698509.234897317 4725148.336986941, 698470.509673411 4724823.035229283, 698457.0483814321 4724709.95897294, 698434.5434060702 4724509.209131219, 698408.7411969324 4724279.050885516, 698404.7076390821 4724243.072195212, 698364.4575181301 4724090.755246917, 698104.2990255669 4724105.389279334, 697777.0857858828 4724403.376507718, 697523.7837454221 4724624.251917122, 697378.367673099 4724751.581682399, 697319.8658948453 4724799.739582253, 697199.9330927988 4724903.253974645, 697170.0066028527 4724929.24987669, 697089.4054881077 4724999.267921374, 696893.5588155743 4725162.137967255, 696797.2861635194 4725242.978663549, 696793.6294771092 4725474.423078203, 696861.4538678065 4725609.040263711, 696878.0082956639 4725644.620724064, 696937.4430254184 4725767.34373583, 696946.1974651981 4725780.495227191, 697093.9146972739 4726109.104672959, 697198.4676949144 4726422.965801199, 697205.6314011791 4726443.922368898, 697212.496097921 4726463.179127793, 697233.3469102308 4726517.354000599, 697296.0580790676 4726632.112881345, 697523.8810454905 4726506.300090396, 697869.1628658047 4726367.393565509))",POINT (697762.168270852 4725402.958202732),5.489391676149738
122,"с. Бусманци, м. През Искър",Искър,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779314.513524,699882.107133,4726359.02795,"POLYGON ((700540.8924762296 4726849.402899101, 700538.8320012275 4726845.585688636, 700519.7125925277 4726810.594017466, 700454.3278374891 4726690.928928371, 700402.2467783008 4726596.314642567, 700376.6150667135 4726548.771754036, 700330.3841479153 4726452.864197277, 700308.8495274531 4726413.372502816, 700239.341116309 4726285.917114655, 700186.9529310385 4726191.492335882, 700143.4659941219 4726108.491405212, 700091.7243850958 4726015.590656453, 700042.8531993547 4725926.394562823, 700010.3412685018 4725866.647961845, 700002.0452010367 4725851.4024315, 699995.5996898336 4725839.557542168, 699984.3783143358 4725816.233099557, 699971.4791415787 4725818.532630898, 699967.966752761 4725810.941602196, 699964.4387692543 4725811.841152616, 699958.2524181904 4725789.271392166, 699954.4474228048 4725789.633725367, 699900.5083175409 4725803.512685678, 699308.5751440631 4725955.418685056, 699304.826720886 4725956.8258654, 699307.4396503998 4725962.755245441, 699314.0047354242 4725977.685081095, 699315.2238377861 4725980.457343831, 699322.7365074721 4725997.542164171, 699323.9589996989 4726000.317474138, 699331.0535087972 4726017.302821124, 699332.2288039932 4726020.427565639, 699337.3702773808 4726034.096789612, 699346.4423769217 4726059.596391714, 699370.3457824499 4726126.811087713, 699374.0850383246 4726137.321302772, 699394.002668553 4726193.326959517, 699407.7044682559 4726231.609787782, 699409.2805094218 4726236.008482173, 699460.3826461351 4726378.75147078, 699463.9812916599 4726389.026569253, 699465.9577924616 4726394.749694093, 699471.2621845087 4726410.839779556, 699460.0628572364 4726414.31326721, 699556.2696294368 4726797.555681144, 699746.8078954847 4726723.041853946, 699792.8575024521 4726732.456179508, 700215.8306838264 4726844.409603806, 700335.8872636262 4726863.826769657, 700393.077418027 4726882.817382166, 700466.5088104272 4726873.563309447, 700540.8924762296 4726849.402899101))",POINT (699882.1071334678 4726359.02794782),7.921512558600481
123,ж.к. Младост 1,Младост,ГР.СОФИЯ,21246,10107,10078,11168,2390,2181,3673,3419,2465,2596,4522,9674,7647,1539,1039,1258,1511292.75016,694638.978625,4725366.43356,"POLYGON ((694329.2706736012 4726503.340651157, 694471.6203287002 4726369.299469978, 694495.2382133729 4726352.324756229, 694690.3284447517 4726167.812017948, 694703.9096859538 4726155.406274445, 694928.7531786488 4725950.078415266, 695082.274829085 4725809.881437103, 695332.5938683237 4725582.804228206, 695435.0654287705 4725489.296724072, 695445.9612297631 4725479.356447089, 695388.2976067215 4725442.883785388, 695370.9334701189 4725432.965503158, 695355.0230372529 4725421.791614328, 695336.9557693726 4725409.244411865, 695325.8385116956 4725398.24068433, 695311.6781265928 4725386.621579171, 695288.7802489274 4725364.693003858, 695263.9236192072 4725338.688930102, 695226.364844613 4725295.467721889, 695207.7104137875 4725269.265444758, 695192.7845079402 4725248.393996596, 695120.6414098453 4725086.171167084, 695090.552936493 4725018.015167388, 694946.4279127705 4724693.384687288, 694935.3995739204 4724665.999146176, 694924.2296789152 4724642.602156516, 694843.3605948694 4724474.978018303, 694686.5125526094 4724521.138697329, 694579.0427956264 4724549.78142419, 694454.3094045315 4724582.85681944, 694337.5767342933 4724609.916030205, 694240.3718896955 4724618.255948729, 694094.5503418192 4724629.964284866, 694081.0042068135 4724631.05191781, 694076.8171949234 4724847.703947322, 694038.0382138991 4724850.248153183, 694021.6848539384 4724876.718835539, 694022.6258245703 4724916.204748489, 694023.0225890292 4724932.852014909, 694025.3382239388 4725030.024383063, 694036.0928446371 4725047.360950898, 694028.5432971552 4725126.329360337, 694079.6647835525 4725204.838030431, 694134.5943559927 4725286.848941818, 694153.025934032 4725314.36768856, 694165.4989928952 4725332.990240387, 694198.2545684353 4725381.82456402, 694158.2560350507 4725422.36556109, 694159.7068484479 4725429.191579242, 694179.743533314 4725455.580466266, 694182.8246872468 4725459.465641832, 694292.668844942 4725466.014833467, 694329.543553147 4725434.927875501, 694360.9579526525 4725408.444133152, 694367.8668979664 4725406.102208506, 694499.6070750062 4725362.108086376, 694616.3210501033 4725491.762001212, 694443.8301070516 4725544.203370437, 694473.7231576528 4725626.207931211, 694340.154709565 4725665.321590442, 694208.9551849907 4725703.741448858, 694212.9044524347 4725747.318612642, 694213.515893314 4725750.36729735, 694215.4839207015 4725755.871137687, 694216.8300054786 4725759.567100401, 694294.2825861479 4725957.024053202, 694283.5086053533 4725992.876124197, 694266.5251781344 4726047.860968502, 694273.1965299846 4726114.283184092, 694292.0524297358 4726141.884568198, 694303.6324178712 4726158.835520988, 694299.7692139478 4726225.901225721, 694259.2442999218 4726226.184674238, 694256.1826692342 4726226.215978876, 694250.3640904513 4726267.320377117, 694187.4848689383 4726299.659175526, 694183.3416861721 4726301.569556637, 694207.8252709616 4726360.557928316, 694208.9332162415 4726363.880087889, 694236.3804959239 4726359.24150339, 694233.8278172859 4726419.216552545, 694313.5668257372 4726513.133222902, 694314.873089334 4726516.389944969, 694329.2706736012 4726503.340651157))",POINT (694638.9786251899 4725366.433564762),3.9690589586252374
124,кв. Хладилника,Лозенец,ГР.СОФИЯ,4252,2597,1990,2262,665,436,852,802,502,432,563,2241,1012,161,185,314,181434.99155,689744.60654,4725828.27369,"POLYGON ((689857.6342757607 4725583.757242728, 689636.5784287089 4725442.816213925, 689570.3836101785 4725399.227145785, 689573.7827501216 4725412.823662629, 689577.592699999 4725431.873677252, 689583.0960871824 4725461.930462456, 689591.8173329313 4725508.384462138, 689596.5652682704 4725546.938566276, 689596.8544361943 4725556.806853794, 689601.4619744278 4725714.039607944, 689605.7532684377 4725825.012312748, 689606.0536886837 4725833.771162898, 689606.3020439552 4725839.44483811, 689607.4686917209 4725866.081894718, 689607.9156807719 4725881.600293903, 689608.0576907229 4725885.735087036, 689610.2976369479 4725947.274996464, 689612.4314704016 4726002.0480232, 689612.8202559736 4726012.109448515, 689613.758095642 4726036.296160104, 689615.5670831613 4726084.978721527, 689628.2047694107 4726090.278628483, 689657.2645053078 4726101.960321277, 689778.1463562892 4726149.186323399, 689820.824017266 4726166.391087624, 689899.8713997882 4726198.257815635, 689905.8060851265 4726200.650284771, 689910.3983615495 4726201.851647336, 689922.7840650012 4726205.091795838, 689926.1712367462 4726205.978817752, 689857.6342757607 4725583.757242728))",POINT (689744.6065398629 4725828.273686046),5.039573479830207
125,в.з. Люлин,Овча Купел,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972521.99389,680074.023697,4724776.04787,"POLYGON ((681150.4348942777 4724997.779038246, 681180.7953030574 4724943.823440456, 681042.7930147192 4724806.372571497, 680974.310417363 4724785.671260647, 680936.0374712744 4724774.103230163, 680673.9492229221 4724694.922823601, 680614.8358193074 4724677.04600442, 680561.9516310017 4724661.094770694, 680518.5361898877 4724647.948923108, 680493.9682067332 4724635.685653416, 680457.6775587278 4724617.893703999, 680410.3771698116 4724619.767445634, 680400.5375793686 4724620.21938396, 680278.3422870722 4724625.832545728, 680274.6396277631 4724623.157161909, 680257.1628143194 4724610.529723455, 680197.0770439362 4724567.116320224, 680225.0936735715 4724437.384982348, 680227.2491205788 4724427.404474477, 680102.4614114834 4724222.770315542, 680037.0954290188 4724115.579347459, 679941.4991547676 4724057.935235566, 679884.7637208955 4724023.724071275, 679736.9240399038 4723985.759838445, 679668.2108365545 4723979.15698591, 679555.3372691927 4723968.310763645, 679527.3096067635 4723938.540769614, 679500.7611572202 4723910.341895632, 679427.7434994199 4723909.839813065, 679378.3199572153 4723909.49985346, 679241.7916776771 4723860.130163257, 679116.7223746909 4723859.924785175, 679028.8810968094 4723859.780554782, 678915.2712494119 4723907.764073944, 678961.2957466897 4723954.352861109, 678950.7859802103 4723994.223278395, 678906.4078190564 4724037.444562636, 678883.7345823935 4724072.981070563, 678875.9562414249 4724127.236630085, 678899.626326664 4724174.153058374, 678974.7462682456 4724178.759585383, 679001.6641837822 4724206.330150397, 679054.9358356962 4724270.036041951, 679114.8818417678 4724317.939579183, 679182.3863944553 4724479.366882107, 679305.9241120106 4724516.9795998, 679408.782196991 4724608.950680927, 679550.9845904135 4724653.432954887, 679599.4974878618 4724680.445737278, 679628.0542156056 4724789.852003441, 679587.3966860306 4724875.119828505, 679541.0881009977 4724834.492835486, 679496.6161274381 4724776.507965637, 679438.8380754425 4724782.69746624, 679466.5096313973 4724861.214484338, 679484.3891167144 4724876.467477574, 679561.6794523906 4724969.36253935, 679522.8289038924 4724998.351618718, 679509.6551614262 4725030.102849663, 679527.5842283461 4725168.869461407, 679539.0703203405 4725231.763380973, 679638.2188673398 4725441.792154335, 679806.3440078271 4725439.614046097, 679848.789244374 4725423.810290503, 679878.3636654534 4725427.551424289, 679905.8009920059 4725416.358380139, 679914.2268471129 4725409.723007805, 679926.3572660396 4725386.229512431, 679944.0503175778 4725336.693981348, 679981.387278548 4725324.255044518, 680004.9835749116 4725325.032372094, 680055.5708219365 4725347.089522899, 680114.5487724904 4725408.172012327, 680164.4947892011 4725445.760524151, 680182.9560312357 4725440.111979889, 680200.8129985263 4725428.648685215, 680241.7897047002 4725322.444798834, 680245.6458942052 4725305.806754953, 680275.2187326453 4725318.917022473, 680313.174757123 4725258.173889166, 680364.406440945 4725252.487551749, 680548.6958722797 4725348.315090432, 680571.3114389207 4725364.321544898, 680570.8689204201 4725403.859179953, 680576.8791260109 4725454.141883409, 680724.0050930289 4725664.484054389, 680771.3183135036 4725619.78592353, 680834.7401723362 4725575.108955426, 680919.5339374855 4725576.97758687, 680943.9345205008 4725626.422266445, 681037.2324787779 4725566.285853743, 681153.2174185856 4725562.997771974, 681176.6296639189 4725527.517122858, 681181.5802712841 4725456.699888061, 681213.0694134561 4725256.978452624, 681216.6570376048 4725201.754141384, 681216.2535156652 4725196.298004185, 681200.1876210764 4725186.855025395, 681164.4461118985 4725108.545805103, 681154.5099551835 4725086.77592295, 681145.2527973729 4725024.429439213, 681143.2038608356 4725010.629890927, 681150.4348942777 4724997.779038246))",POINT (680074.0236965463 4724776.047869737),8.810639677713194
126,Борисова градина - Ловен парк,Изгрев,ГР.СОФИЯ,11,5,7,4,4,2,2,1,2,0,0,0,0,0,3,0,385112.591631,691730.774636,4726000.94247,"POLYGON ((691974.3314051285 4726357.302614741, 692035.9181615061 4726260.72448872, 691994.2561435323 4726197.791646744, 691997.3833484384 4726171.565325325, 692009.5086983035 4726139.074814732, 692006.6025066627 4726097.268415195, 691985.7718089817 4726065.806124057, 691978.092168147 4726034.806159602, 691983.8768782688 4725995.505567187, 691932.9676429572 4725883.958885602, 691940.0124351254 4725871.040168929, 691897.2609498937 4725838.795711785, 691827.9430592845 4725689.285335837, 691772.8836302257 4725571.009110332, 691755.5803914833 4725563.812846874, 691747.4339649986 4725545.965239463, 691720.5699227226 4725498.919632932, 691658.4730541469 4725430.547703737, 691504.1167060052 4725433.405293114, 691504.274965936 4725444.128804664, 691505.3607960544 4725478.450124591, 691509.7986858962 4725607.356230646, 691510.4399074324 4725624.471039684, 691514.4842776288 4725692.20536103, 691518.1888273609 4725753.840805538, 691524.7725479475 4725861.03827376, 691542.7090624929 4726210.513026671, 691550.9773964508 4726363.80669131, 691555.6240273521 4726445.59141366, 691865.146130646 4726465.360804131, 691903.0312071688 4726449.146911575, 691936.9640168077 4726411.122622133, 691974.3314051285 4726357.302614741))",POINT (691730.7746362645 4726000.942469669),6.481567434198019
127,ж.к. Манастирски ливади-изток,Триадица,ГР.СОФИЯ,4732,3261,2206,2526,805,480,1109,889,512,449,488,2122,1205,192,229,411,1819951.0995,687949.940113,4725167.18439,"POLYGON ((688738.2088493399 4725381.788852436, 688730.2462660429 4725363.620445078, 688722.2683338127 4725345.41989314, 688705.9584374514 4725308.211291214, 688662.7373203838 4725209.608637154, 688627.7061667002 4725050.453100754, 688614.9875788414 4724969.922672674, 688606.7449523 4724878.56942688, 688606.5224329574 4724868.432207705, 688603.1144584987 4724713.207075879, 688601.6673136991 4724647.293531536, 688601.4410466215 4724636.988844882, 688598.3966720547 4724582.119813069, 688586.909426325 4724512.800515489, 688564.9150393603 4724439.009485025, 688546.8913412178 4724401.012290528, 688532.1849167031 4724370.008337197, 688454.8586627097 4724223.122094741, 688447.9666946816 4724210.030437584, 688255.1721846969 4724308.320156168, 688250.3645538939 4724310.771184683, 688171.2224643113 4724352.851542158, 688137.4802360332 4724370.366244246, 688047.7461801894 4724416.844365856, 688035.3804607511 4724423.249202928, 687949.8355559775 4724467.553997202, 687941.1182086917 4724473.248390232, 687918.6846822044 4724487.892169818, 687499.4972891352 4724705.71455044, 687453.0989303251 4724728.804365183, 687372.6462319595 4724770.46756832, 687313.6676352834 4724801.10526512, 687308.5911251133 4724803.736973525, 687212.2578577356 4724852.321248171, 687154.8437035969 4724880.331116973, 687148.3014972742 4724883.522782974, 687130.064897767 4724892.411709465, 687136.9015998602 4724902.210258125, 687163.4905966561 4724948.672429763, 687188.5841017531 4724993.570539398, 687208.4670368902 4725036.982796525, 687230.8798408129 4725091.441775693, 687237.9087804268 4725111.613688997, 687245.4290522782 4725133.454208051, 687251.8496016483 4725155.265509471, 687259.6936992682 4725189.702845287, 687260.9513267274 4725195.224026645, 687264.2991166405 4725209.921413611, 687270.2483289451 4725241.912410291, 687284.3342675825 4725317.559353832, 687294.2700594328 4725370.865413701, 687320.9290791656 4725514.040826827, 687344.1564812636 4725644.506583529, 687348.9053112017 4725671.131808564, 687361.6362946725 4725734.763251835, 687391.1697557466 4725900.134814243, 687404.8524505612 4725967.962829508, 687409.4425292033 4725984.115731179, 687414.9117132644 4726002.561411677, 687430.951916264 4726048.509248802, 687442.697155344 4726076.48333752, 687447.7993544609 4726088.631947764, 687453.4523741994 4726100.209832562, 687461.1852227178 4726114.362964041, 687483.2071410485 4726150.506766562, 687504.7627689552 4726181.047006484, 687579.2451204992 4726138.282201491, 687679.8914926841 4726076.222803554, 687828.3684180421 4725960.90108252, 688573.6905797399 4725494.949302949, 688738.2088493399 4725381.788852436))",POINT (687949.9401131222 4725167.184388202),5.7964363617938615
128,ж.к. Дианабад,Изгрев,ГР.СОФИЯ,13021,6642,6190,6831,1544,1478,2474,1989,1446,1658,2432,6117,4442,844,627,832,849973.089802,692428.174769,4726059.16524,"POLYGON ((693203.127432809 4726128.804262706, 693206.8976749063 4726123.479290971, 693142.2501028567 4726087.895316805, 693093.0092953224 4726060.781008469, 693004.6072475471 4726012.103297465, 692732.3640301675 4725862.216433646, 692445.8427928443 4725702.364510459, 692434.3478687842 4725696.005473571, 692420.7986108139 4725681.459057277, 692314.2388741906 4725624.772496283, 692272.0639094294 4725608.906346309, 692112.5633448322 4725559.44712054, 692059.60472423 4725541.507244893, 692053.1386813053 4725539.586542779, 692023.9962904237 4725530.937316478, 692017.8694990821 4725528.758616201, 692011.4601907039 4725526.485384234, 692004.1583130648 4725524.309372751, 691963.0060412553 4725512.051858481, 691932.1617853423 4725502.861926384, 691804.0651025418 4725463.888586113, 691760.5793312462 4725449.291807014, 691744.391623978 4725443.854240697, 691741.0694664237 4725442.983084665, 691658.4730541469 4725430.547703737, 691720.5699227226 4725498.919632932, 691747.4339649986 4725545.965239463, 691755.5803914833 4725563.812846874, 691772.8836302257 4725571.009110332, 691827.9430592845 4725689.285335837, 691897.2609498937 4725838.795711785, 691940.0124351254 4725871.040168929, 691932.9676429572 4725883.958885602, 691983.8768782688 4725995.505567187, 691978.092168147 4726034.806159602, 691985.7718089817 4726065.806124057, 692006.6025066627 4726097.268415195, 692009.5086983035 4726139.074814732, 691997.3833484384 4726171.565325325, 691994.2561435323 4726197.791646744, 692035.9181615061 4726260.72448872, 691974.3314051285 4726357.302614741, 692019.8168934776 4726374.283045858, 692131.7740058412 4726408.635669018, 692159.4023506644 4726419.622902595, 692251.1227394803 4726457.400862171, 692309.5581471063 4726482.888360995, 692348.640465663 4726495.384786682, 692376.4678472338 4726500.773405449, 692454.8436874497 4726508.461431099, 692516.2241991448 4726510.236815847, 692557.2758690126 4726509.475911834, 692586.2919894363 4726509.624502365, 692644.7218748555 4726518.299747548, 692698.2079825698 4726530.909289252, 692735.9954710765 4726543.354748277, 692754.4602540242 4726546.550836971, 692761.8805890295 4726547.076361483, 692824.3092342759 4726558.599300454, 692843.2037928535 4726567.673661986, 692864.0790385138 4726529.291597941, 692884.2134249742 4726497.683658337, 692965.3144879723 4726394.793162768, 693004.9055077829 4726345.062497284, 693134.1871303071 4726207.056341972, 693203.127432809 4726128.804262706))",POINT (692428.1747687883 4726059.1652386),5.771473225828289
129,ж.к. Мусагеница,Студентска,ГР.СОФИЯ,2438,1207,1128,1310,255,251,406,362,247,377,540,1129,887,172,103,147,475242.609167,693743.81327,4726112.74838,"POLYGON ((693949.9622636372 4726630.480221411, 693971.5329686144 4726604.032409134, 694007.2655367388 4726549.559147126, 694017.4877948606 4726533.975574808, 694025.5932741403 4726503.903562451, 694030.8071044963 4726484.559675654, 694031.9040198482 4726480.48994171, 694027.0156002764 4726470.342354503, 694015.855335469 4726447.175225127, 694043.3576551477 4726377.327134723, 694074.3471188174 4726199.228742421, 694092.4691805218 4726094.659521882, 694098.9886769626 4726057.040364116, 694099.5688380032 4726053.692606576, 694100.6817358292 4726047.270843449, 694104.9596623676 4726022.585759899, 694105.5542426114 4726017.071620365, 694093.0543473201 4725990.297810494, 694088.435685179 4725980.405084992, 694080.3049048278 4725962.9896817, 694078.2433612476 4725960.991346242, 694028.6752502697 4725925.293584262, 694020.3861784597 4725904.032379203, 693999.023787522 4725849.238718403, 693995.3500553546 4725839.815782241, 693931.9805987377 4725775.973024355, 693891.8550026229 4725735.878418863, 693877.1078579098 4725721.142674321, 693860.0551945172 4725704.103114224, 693849.3157500506 4725693.372051279, 693800.3442017722 4725644.438265725, 693779.7934546636 4725623.903311853, 693775.6006318607 4725620.743504239, 693767.8538004258 4725627.530513768, 693760.3112818833 4725634.125562641, 693757.4029611454 4725636.668617654, 693717.0524742346 4725671.950043128, 693635.8288220714 4725744.684988834, 693562.5585259396 4725808.510971083, 693549.8042364356 4725819.621232438, 693539.0723314466 4725828.96973205, 693533.882577211 4725833.262719371, 693523.3083520972 4725842.009973988, 693511.0268482699 4725852.169493042, 693494.6811113523 4725865.268337724, 693490.049696597 4725868.979759206, 693460.0819736025 4725904.678618943, 693457.9974511187 4725906.885803017, 693442.5527270038 4725914.220315138, 693411.7274573067 4725928.859029342, 693339.5782907461 4725963.122314242, 693310.5640132179 4725976.901032344, 693290.4696801323 4726021.475937922, 693276.9978611557 4726043.012443949, 693206.8976749063 4726123.479290971, 693216.8830996174 4726123.886256523, 693225.0867317374 4726123.937355998, 693231.2660189961 4726127.708952222, 693235.8468606998 4726130.376689442, 693247.0366475792 4726136.830855308, 693250.6666468931 4726138.924607966, 693352.1243644143 4726196.581586068, 693432.558443639 4726243.935786902, 693438.2042874267 4726247.340436203, 693446.5582127426 4726252.378026978, 693462.9382939698 4726263.956879848, 693519.9470231892 4726304.255591349, 693600.7169356054 4726356.517495523, 693615.2431833453 4726365.916655579, 693638.5165285408 4726384.845034922, 693722.8604266858 4726453.442314623, 693748.9802667352 4726478.745691109, 693814.6258528944 4726539.874886744, 693906.5932324387 4726628.791490024, 693918.2449433698 4726639.676956125, 693929.2569854521 4726649.974496215, 693932.6707847489 4726653.164212122, 693937.4311077096 4726646.372426284, 693943.4947051373 4726638.543906801, 693949.9622636372 4726630.480221411))",POINT (693743.8132698743 4726112.748378454),3.7847290178359843
130,с. Казичене,Панчарево,С.КАЗИЧЕНЕ,4266,1648,2069,2197,597,521,665,726,561,563,633,74,1517,187,32,19,2121764.87146,702132.324838,4725988.06629,"POLYGON ((702280.5174402768 4727248.001180393, 702284.8609598873 4727199.34427603, 702257.3254138287 4727164.096315967, 702208.6754892853 4727101.819912557, 702212.1031096699 4727057.77883446, 702174.2704926438 4726932.307403404, 702299.4503913387 4726874.346093318, 702293.1472184078 4726742.169502412, 702392.1191895184 4726715.136502935, 702379.777004744 4726641.119965859, 702416.1709355925 4726633.493139221, 702474.3429305782 4726621.302445423, 702486.0922694025 4726618.840275291, 702443.6536559996 4726402.901203485, 702630.0593637285 4726337.638416519, 702610.6013367621 4726237.450989713, 702988.9293318408 4726121.423512476, 702917.9154436492 4725704.172307252, 702911.3295425868 4725668.492397902, 702888.3702943174 4725544.108902545, 702869.6128799277 4725442.420287437, 702842.9247967511 4725297.719400533, 702822.3163288131 4725187.559129945, 703280.1887025135 4725081.732402308, 703271.6549828642 4725009.581808006, 702930.3279881553 4725095.343067714, 702679.5937031789 4725158.342001917, 702559.40361177 4725188.54061227, 702335.6443920915 4725244.761688238, 701890.1466406033 4725356.695442856, 701235.330871372 4725521.225483643, 701232.5362336144 4725522.115997209, 701248.5696463278 4725586.192157126, 701358.4639089486 4726025.192750581, 701360.0354842739 4726031.471047628, 701372.2242066925 4726171.645409689, 701374.5135942665 4726197.975018463, 701386.2211160623 4726332.618234936, 701375.1403687535 4726523.251792132, 701463.7402612643 4726548.723462793, 701540.1982943747 4726544.81443525, 701744.0523381543 4726520.472909602, 701775.7100199342 4726675.044865379, 701790.5527937766 4726708.71707856, 701797.7721059801 4726725.094933872, 701915.7216250873 4726905.12948635, 701935.9234275188 4726898.917464008, 701958.406876792 4727069.064196969, 702020.8549780378 4727050.926331044, 702044.921728068 4727099.159262462, 702064.85415315 4727139.106506922, 702122.0791039179 4727253.793269138, 702126.575445037 4727253.873846148, 702134.4113994457 4727253.632476258, 702280.5174402768 4727248.001180393))",POINT (702132.3248378054 4725988.06628836),8.689165513455631
